created_at,entry_id,field1,field2,field3
2016-11-11 11:32:34 +0900,1,29,"43.00

",
2016-11-11 11:33:00 +0900,2,28,"40.00

",
2016-11-11 11:33:24 +0900,3,28,"42.00

",
2016-11-11 11:33:47 +0900,4,27,"39.00

",
2016-11-11 11:34:10 +0900,5,26,"43.00

",
2016-11-11 11:34:32 +0900,6,26,"44.00

",
2016-11-11 11:34:55 +0900,7,26,"41.00

",
2016-11-11 11:35:19 +0900,8,26,"41.00

",
2016-11-11 11:35:42 +0900,9,26,"46.00

",
2016-11-11 11:36:05 +0900,10,27,"41.00

",
2016-11-11 11:36:28 +0900,11,26,"41.00

",
2016-11-11 11:36:52 +0900,12,26,"41.00

",
2016-11-11 11:37:15 +0900,13,25,"43.00

",
2016-11-11 11:37:39 +0900,14,25,"43.00

",
2016-11-11 11:38:05 +0900,15,26,"44.00

",
2016-11-11 11:38:28 +0900,16,24,"44.00

",
2016-11-11 11:38:51 +0900,17,24,"44.00

",
2016-11-11 11:39:16 +0900,18,24,"43.00

",
2016-11-11 11:40:33 +0900,19,25,"42.00

",
2016-11-11 11:40:58 +0900,20,25,"35.00

",
2016-11-11 11:41:23 +0900,21,24,"36.00

",
2016-11-11 11:41:46 +0900,22,24,"35.00

",
2016-11-11 11:42:10 +0900,23,24,"37.00

",
2016-11-11 11:42:34 +0900,24,24,"35.00

",
2016-11-11 11:42:59 +0900,25,24,"35.00

",
2016-11-11 11:43:24 +0900,26,24,"35.00

",
2016-11-11 11:43:47 +0900,27,24,"34.00

",
2016-11-11 11:44:10 +0900,28,24,"35.00

",
2016-11-11 11:44:29 +0900,29,24,34,"1024.00

"
2016-11-11 11:44:54 +0900,30,23,35,"1024.00

"
2016-11-11 11:46:13 +0900,31,24,37,"1024.00

"
2016-11-11 11:46:38 +0900,32,24,37,"1024.00

"
2016-11-11 11:47:04 +0900,33,24,37,"1024.00

"
2016-11-11 11:47:29 +0900,34,24,37,"1024.00

"
2016-11-11 11:47:54 +0900,35,24,37,"1024.00

"
2016-11-11 11:48:17 +0900,36,24,38,"1024.00

"
2016-11-11 11:48:42 +0900,37,24,37,"1024.00

"
2016-11-11 11:49:08 +0900,38,24,37,"1024.00

"
2016-11-11 11:49:32 +0900,39,24,37,"1024.00

"
2016-11-11 11:50:01 +0900,40,24,36,"1024.00

"
2016-11-11 11:50:34 +0900,41,24,36,"1024.00

"
2016-11-11 11:50:57 +0900,42,24,36,"1024.00

"
2016-11-11 11:51:22 +0900,43,24,37,"1024.00

"
2016-11-11 13:43:30 +0900,44,19,21,"1024.00

"
2016-11-11 13:44:01 +0900,45,19,22,"1024.00

"
2016-11-11 13:44:26 +0900,46,19,22,"1024.00

"
